wmi,manufacturer,count
1ZV,"Auto Alliance International, USA",1
1B3,DODG,1594
1B4,DODG,1877
1B7,DODG,852
1FA,FORD,5034
1FM,FORD,5154
1FT,FORD,3361
1G1,CHEV,4730
1G2,PONT,3737
1G3,OLDS,1601
1G4,BUIC,1619
1G6,CADI,1441
1G8,STRN,2225
1GB,CHEV,1049
1GC,CHEV,2874
1GK,GMC ,1587
1GN,CHEV,5110
1HG,HOND,4954
1J4,JEEP,3806
1LN,LINC,957
1ME,MERC,1050
1N4,NISS,2069
1NX,TOYT,1575
2B4,DODG,1157
2FM,FORD,1966
2G1,CHEV,2904
2G4,BUIC,1388
3FA,FORD,821
3VW,VOLK,1407
4A3,MITS,874
4T1,TOYT,3994
JHL,HOND,940
JN1,NISS,1053
JNK,INFI,821
JTE,TOYT,1119
KMH,HYUN,1788
WBA,BMW ,1540
WDB,MERZ,1389
YV1,VOLV,1296
